Sl. No.,Component Name,Component Model,Number of components per unit,Component Price Per Unit (BDT),Component Price Per Unit (USD),Required amount of components,Buying Unit,Buying Price(BDT),Buying Price(USD),Components Buying URL
11,Voltage Booster,TPS6123 Module,1,490,3.99,1,1,490,3.99,https://store.roboticsbd.com/power-module-adapter/4091-tps61023-5v-1a-boost-regulator-module-robotics-bangladesh.html
12,Battery ,3.7V Li-Po Battery,1,426,3.47,1,1,426,3.47,https://www.daraz.com.bd/products/1200mah-1s-25c-37v-lipo-37v-1200mah-25c-1s-1200mah-66x31x8mm-1200mah-jst-51005-2pin-i143078841-s1067208206.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253A%253Bnid%253A143078841%253Bsrc%253AlazadaInShopSrp%253Brn%253Ad6d2ff9d50313bd923da1c703d06035c%253Bregion%253Abd%253Bsku%253A143078841_BD%253Bprice%253A426%253Bclient%253Adesktop%253Bsupplier_id%253A700507287024%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A29%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000488%253Bitem_id%253A143078841%253Bsku_id%253A1067208206%253Bshop_id%253A94590%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Dhaka&price=426&priceCompare=skuId%3A1067208206%3Bsource%3Alazada-search-voucher-in-shop%3Bsn%3Ad6d2ff9d50313bd923da1c703d06035c%3BoriginPrice%3A42600%3BdisplayPrice%3A42600%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1780391450910&ratingscore=3.6&request_id=d6d2ff9d50313bd923da1c703d06035c&review=15&sale=56&search=1&spm=a2a0e.store_product.list.29&stock=1
13,PCB,Custom PCB by JLC PCB,5,245.82,2,1,1,245.82,2,https://cart.jlcpcb.com/shopcart/cartEdit/?id=44330706b19b4ec3a25f29b8f853687d&type=1&changeType=1&achieveDate=72
14,Tape,Double Side Foam Tape,1,92,0.75,1,1,92,0.75,https://www.daraz.com.bd/products/25mm-1-25mm-1-i147794127-s1073552775.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253A%253Bnid%253A147794127%253Bsrc%253AlazadaInShopSrp%253Brn%253A24a7708ef53e3c307ef19c1b70788d65%253Bregion%253Abd%253Bsku%253A147794127_BD%253Bprice%253A92%253Bclient%253Adesktop%253Bsupplier_id%253A700507287024%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A6%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000478%253Bitem_id%253A147794127%253Bsku_id%253A1073552775%253Bshop_id%253A94590%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Dhaka&price=92&priceCompare=skuId%3A1073552775%3Bsource%3Alazada-search-voucher-in-shop%3Bsn%3A24a7708ef53e3c307ef19c1b70788d65%3BoriginPrice%3A9200%3BdisplayPrice%3A9200%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1780392453566&ratingscore=4.514745308310992&request_id=24a7708ef53e3c307ef19c1b70788d65&review=373&sale=1616&search=1&spm=a2a0e.store_product.list.6&stock=1
15,Shipping 1,Daraz BD Shipping,1,90,0.73,1,1,90,0.73,
16,Shipping 2,Robotics BD Shipping,1,55,0.45,1,1,55,0.45,
17,Shipping 3, JLC PCB E-Post Shipping,1,1000.49,8.14,1,1,1000.49,8.14,
18,,,,,,,,,,
19,,,,,,,,,,
20,Total,,,3289.31,26.77,,,3289.31,26.77,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
